asset_name,magazine_code,magazine_issue_code,asset_title,page,theme_name,theme_name_2
20221027142517202,revue-feuillet-hebdo,3965,"Le délai d'intervention, point de bascule entre l'astreinte et le travail effectif",25,Paye,
20221027142517202,revue-feuillet-hebdo,3965,"Le délai d'intervention, point de bascule entre l'astreinte et le travail effectif",25,Paye/Durée du travail,Durée du travail
20221125134238079,revue-feuillet-hebdo,3966,Salariés itinérants : revirement sur le temps de trajet domicile/travail,37,Paye,
20221123154825459,revue-feuillet-hebdo,3966,Bonus-malus sur la cotisation patronale chômage : un nouvel arrêté corrige les taux médians,40,Paye,
20221125134238079,revue-feuillet-hebdo,3966,Salariés itinérants : revirement sur le temps de trajet domicile/travail,37,Paye/Durée du travail,Durée du travail
20221130114757496,revue-feuillet-hebdo,3967,Salariés exposés aux facteurs de risques : à déclarer en DSN au titre de la paye de décembre,3,Paye,
20221205174646627,revue-feuillet-hebdo,3967,Le conseiller du salarié qui ne produit pas d'attestations ne peut pas être payé,4,Paye,
20221108113820202,revue-feuillet-hebdo,3967,Dépêches de novembre 2022,6,Paye,
20221124153522708,revue-feuillet-hebdo,3967,Effectif « sécurité sociale » : les apports du BOSS sur le décompte des salariés,75,Paye,
20221202165603110,revue-feuillet-hebdo,3967,DFS pour « frais pro » : le BOSS intègre la sortie progressive des secteurs du BTP et de la propreté,80,Paye,
20221124153522708,revue-feuillet-hebdo,3967,Effectif « sécurité sociale » : les apports du BOSS sur le décompte des salariés,75,Paye/Cotisations et prélèvements divers,Cotisations et prélèvements divers
20221205174646627,revue-feuillet-hebdo,3967,Le conseiller du salarié qui ne produit pas d'attestations ne peut pas être payé,4,Paye/Rémunération,Rémunération
20221212151130460,revue-feuillet-hebdo,3968,Le BOSS annonce la prolongation du régime social de faveur pour l'avantage en nature « véhicule élec,5,Paye,
20221219102128813,revue-feuillet-hebdo,3969,Plafond de la sécurité sociale pour 2023 : 3 666 € par mois,3,Paye,
20221219161242403,revue-feuillet-hebdo,3969,"Le SMIC horaire passera à 11,27 € le 1er janvier 2023",3,Paye,
20221219112900897,revue-feuillet-hebdo,3969,Cotisations de retraite complémentaire : l'AGIRC-ARRCO s’adapte au BOSS,4,Paye,
20221212154231265,revue-feuillet-hebdo,3969,Mise en place d'un téléservice « dépôt de pièces jointes » pour le règlement des IJSS,4,Paye,
20221205085545805,revue-feuillet-hebdo,3969,Présentation du dossier,7,Paye,
20221209172454950,revue-feuillet-hebdo,3969,LFSS 2023 : les mesures relatives aux arrêts de travail et au congé de présence parentale,9,Paye,
20221208165752267,revue-feuillet-hebdo,3969,"LFSS 2023 : les mesures relatives aux cotisations, exonérations et déclarations sociales",14,Paye,
20221205085759555,revue-feuillet-hebdo,3969,LFSS 2023 : à la recherche de plus d'efficacité dans les contrôles URSSAF et la lutte contre la frau,21,Paye,
20221212154231265,revue-feuillet-hebdo,3969,Mise en place d'un téléservice « dépôt de pièces jointes » pour le règlement des IJSS,4,"Paye/Accident, maladie et inaptitude","Accident, maladie et inaptitude"
